artist,artist_id
José González,6xrCU6zdcSTsG2hLrojpmI
Dido,2mpeljBig2IXLXRAFO9AAs
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx
The Fray,0zOcE3mg9nS6l3yxt1Y0bK
Missy Elliott,2wIVse2owClT7go1WT98tk
O-Zone,5M5PjPSiKeXynM6Ohu350r
Lily Allen,13saZpZnCDWOI9D4IJhp1f
Robin Thicke,0ZrpamOxcZybMHGg1AYtHP
Miike Snow,4l1cKWYW591xnwEGxpUg3J
Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86
Craig David,2JyWXPbkqI5ZJa3gwqVa0c
Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3
Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC
MGMT,0SwO7SWeDHJijQ3XNS7xEE
Rise Against,6Wr3hh341P84m3EI8qdn9O
The Strokes,0epOFNiUfyON9EYx7Tpr6V
Lykke Li,6oBm8HB0yfrIc9IHbxs6in
Kings of Convenience,41AbNVba2ccpmcc9QtOJE7
Gossip,3sFTupo9UGgrujjN21BjwR
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr
The Kooks,1GLtl8uqKmnyCWxHmw9tL4
The Libertines,4fSPtBgFPZzygkY6MehwQ7
Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
John Legend,5y2Xq6xcjJb2jVM54GHK3t
Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK
Sia,5WUlDfRSoLAfcVSX1WnrxN
The Whitest Boy Alive,1qcU8NabUQ5efQf8UGW6CV
Travis,3bUwxJgNakzYKkqAVgZLlh
Aqua,6kBjAFKyd0he7LiA5GQ3Gz
Duffy,37NqXwtb6nIEqRt4EJSoIO
Melanie C,60vX3zLcdKRXvKLITVh5Df
Seether,6B5c4sch27tWHAGdarpPaW
Joss Stone,7bvcQXJHkFiN1ppIN3q4fi
Murphy Lee,07W0YfsvHM7Mw7Bq48Mb0A
Keane,53A0W3U0s8diEn9RhXQhVz
Sum 41,0qT79UgT5tY4yudH9VfsdT
Gorillaz,3AA28KZvwAUcZuOKwyblJQ
Band of Horses,0OdUWJ0sBjDrqHygGUXeCF
Kula Shaker,6bGcpvHbRHg8s0wiNyIZK1
Kid Rock,7dOBabd5O4CvKrg4iriHTM
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD
The Sounds,0W2XAE5AnBWqcGNhfupEOU
Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2
Joshua Radin,7omzannyG2lfDqP5xyZo34
Sade,47zz7sob9NUcODy0BTDvKx
System Of A Down,5eAWCfyUhZtHHtBdNk56l1
Jamiroquai,6J7biCazzYhU3gM9j1wfid
Papa Roach,4RddZ3iHvSpGV4dvATac9X
Creed,43sZBwHjahUvgbx1WNIkIz
Phantom Planet,0LsTFjEB1IIrh7IlTxs1GY
The Shapeshifters,60FV7KyxIH9FH1uq7u8inP
Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe
Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A
3 Doors Down,2RTUTCvo6onsAnheUk3aL9
James Morrison,3LpLGlgRS1IKPPwElnpW35
Lil Wayne,55Aa2cqylxrFIXC767Z865
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq
Basement Jaxx,4YrKBkKSVeqDamzBPWVnSJ
Amy Macdonald,1hJuGCUpefX24GFmss9bjH
Mando Diao,5I4eibDkC7gg0hmczTZuND
Titiyo,2s5enJCtVBAAdWD94jOIbM
Darude,0LhHRmSd1EYM5QdNeNnCoQ
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw
Juanes,0UWZUmn7sybxMCqrw9tGa7
blink-182,6FBDaR13swtiWwGhX1WQsP
Eve,4d3yvTptO48nOYTPBcPFZC
Gnarls Barkley,5SbkVQYYzlw1kte75QIabH
U2,51Blml2LZPmy7TTiAg47vQ
All Saints,5TDVKqW9uhqGjwwwKGuma4
Röyksopp,5nPOO9iTcrs9k6yFffPxjH
Robbie Williams,2HcwFjNelS49kFbfvMxQYw
Justice,1gR0gsQYfi6joyO1dlp76N
Gavin DeGraw,5DYAABs8rkY9VhwtENoQCz
Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1
Puddle Of Mudd,3dXaa6jwM7B52GZpaJEIr5
Default,4nCzT3o7lMgCWBcmdwCMsT
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn
Klaxons,2qlAMLpUyBjZgnzuFXXZXI
Stromae,5j4HeCoUlzhfWtjAfM1acR
Khalid,6LuN9FCkKOj5PcnpouEgny
Summer Walker,57LYzLEk2LcFghVwuWbcuS
Jhene Aiko,5ZS223C6JyBfXasXxrRqOk
Ella Mai,7HkdQ0gt53LP4zmHsL0nap
Ncredible Gang,03pGcGiCNzt8NNcmxrIYSG
Cardi B,4kYSro6naA4h99UJvo89HB
Jessie Reyez,3KedxarmBCyFBevnqQHy3P
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom
H.E.R.,3Y7RZ31TRPVadSFVy1o8os
Normani,2cWZOOzeOm4WmBJRnD5R7I
Pink Sweat$,1W7FNibLa0O0b572tB2w7t
Kiana Ledé,7jZMxhsB8djyIbYmoiJSTs
Trey Songz,2iojnBLj0qIMiKPvVhLnsH
Asiahn,1mKtlPrXjWK6oIdk9cSOjs
Tank,4mwXUEKaW4ftbncf9Hi58l
Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ
Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa
Kehlani,0cGUm45nv7Z6M6qdXYQGTX
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Lucky Daye,5Vuvs6Py2JRU7WiFDVsI7J
Daniel Caesar,20wkVLutqVOYrc0kxFs7rA
6LACK,4IVAbR2w4JJNJDDRFP3E83
Solange,2auiVi8sUZo17dLy1HwrTU
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd
Rico Love,2GEcMpeGIad5O23WxDRFMn
Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9
Leven Kali,5YZ5AExR68U3ZblH6HcO6B
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg
Mike WiLL Made-It,0NWbwDZY1VkRqFafuQm6wk
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
Rotimi,1xBARhKI09ZTmeePVDWMCf
Raphael Saadiq,6g0Wah2YFtb1rFgKhUktlo
Dreamville,1iNqsUDUraNWrj00bqssQG
BJ The Chicago Kid,07d5etnpjriczFBB8pxmRe
DaVido,0Y3agQaa6g2r0YmHPOO9rh
Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr
Quality Control,6i392l38cR3uBPF0DbNs7S
11:11,5gsyao2Qm21EKylbVIuRQ3
Majid Jordan,4HzKw8XcD0piJmDrrPRCYk
PJ Morton,2FMOHE79X98yptp4RpPrt7
The Bonfyre,4oIGrMYn1N1xPNYVXcaEZJ
Lunay,47MpMsUfWtgyIIBEFOr4FE
Nicky Jam,1SupJlEpv7RS2tPNRaHViT
DJ Luian,64aJYyrXljOodnUG6jvhRD
Dalex,0KPX4Ucy9dk82uj4GpKesn
Ozuna,1i8SpTcr7yvPOmcqrbnVXY
Karol G,790FomKkXshlbRYZFtlgla
Maluma,1r4hJ1h58CWwUQe3MxPuau
Manuel Turizo,0tmwSHipWxN12fsoLcFU3B
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9
Sech,77ziqFxp5gaInVrF2lj4ht
Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z
Brytiago,00XhexlJEXQstHimpZN910
Maffio,5RzT7CM6Ot0sh0EHefMicV
Anuel Aa,2R21vXR83lH98kGeO99Y66
Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU
Farruko,329e4yvIujISKGKz1BZZbO
Rauw Alejandro,1mcTU81TzQhprhouKaTkpq
Becky G,4obzFoKoKRHIphyHzJ35G3
Paloma Mami,7rOlQwf8OuFLFQp4aydjBt
Myke Towers,7iK8PXO48WeuP03g8YR51W
Noriel,3RtNN1VnooWEn3KQk03DUL
Piso 21,4bw2Am3p9ji3mYsXNXtQcd
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD
Lyanno,1Ts9of7VPZElwPQnqnDSfW
Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj
ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj
Reik,0vR2qb8m9WHeZ5ByCbimq2
Bad Bunny,4q3ewBCX7sLwd24euuV69X
Jhay Cortez,0EFisYRi20PTADoJrifHrz
Nio Garcia,5hdhHgpxyniooUiQVaPxQ0
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
Fuego,7wU2WGCJ8HxkekHHE2QLul
Amenazzy,6kq4GHwUcUojGIu0ziSNXf
Natti Natasha,1GDbiv3spRmZ1XdM1jQbT7
Kevin Roldan,1RBzGO6Nm3uyhUSxP7EDWO
Guaynaa,0BqURncJM5B1BBu7UM51eq
Luigi 21 Plus,77GVmrLGuxNEvj2ibvT62v
Zion & Lennox,21451j1KhjAiaYKflxBjr1
Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km
Greeicy,5dbaLmK5SHLLg8Z4CcTJpX
Lary Over,1jSjfSgDjedJdi5MoyRu78
Reykon,3PAwspMN27PDm81WwXDsMf
Casper Magico,1fux65HMCBvfJHqlBc4Nno
Chencho Corleone,37230BxxYs9ksS7OkZw3IU
"Tito ""El Bambino""",5fJsY7afrbsyzJj9wdzJMh
Prince Royce,3MHaV05u0io8fQbZ2XPtlC
Wisin,3E6xrwgnVfYCrCs0ePERDz
Nacho,2ayNSoKPCRAfjp6hQ76hRu
Juhn,2LmcxBak1alK1bf7d1beTr
Mariah,0KKUc4amZyvswV2YL6WTar
Alex Sensation,0OROVBEZCocg0FcgJpyBse
Ghetto Kids,6XvKTz2XRPwlry0UdjqoKq
Urba y Rome,73Lhk4XucX7BDRL82Zngs5
Feid,2LRoIwlKmHjgvigdNGBHNo
CNCO,0eecdvMrqBftK0M1VKhaF4
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c
Almighty,6P6GTRTigHBp8ZesNtpCKH
Gente De Zona,2cy1zPcrFcXAJTP0APWewL
R.K.M & Ken-Y,3jFjgKOGfVLWfXX8q5wrsg
Jd Pantoja,7yjRUA0Iz3VI4Kqa5oPJZK
Danny Romero,30HlKUFTsqlFQsPfyv2yuM
Rvfv,2CCgb0KApjfQDuTppovpf8
Residente,5GcWBUX00IPuWVGMIRK1sS
Rafa Pabön,11YLRSsZA3YVuQQtHXKTlz
Abraham Mateo,2bxxlINUlcMQQb39K7IopR
Cazzu,6w3SkAHYPsQ1bxV7VDlG5y
Milly,7kXCcNRLEnblbTAppPraBp
Tainy,0GM7qgcRCORpGnfcN2tCiB
Mati Gómez,23mC5tLCbMk9zqrR2dFtNE
Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF
Luis Miguel,2nszmSgqreHSdJA3zWPyrW
Los Claxons,4AgfaZvOiSS97uy5ekQ7bf
León Larregui,4ClsVDy2g7RKSSlvq8cF6d
Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR
Maná,7okwEbXzyT2VffBmyQBWLz
Griss Romero,36eqG3jM0MhxTR7Cuw7BQA
Zeri,1ISG0zSleX4gwbBf4AydB8
Alexander Acha,3JkgQ8Jjwt2mkeOsg5yhqh
Axel,32x1uogH2zajP85pzZAtuE
Río Roma,2O3v9rCTzLhPFaGaAVgZLt
Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ
Layl,3QVCBQQXBRKUDpCpa5smak
Reyli Barba,69BUYvpG9MbjCyIZfsFdhJ
Carlos Rivera,39yVoqm6sYFvvqF1RciUVf
Joss Favela,0EocQPg9ycs21gcvaVm9hh
Eros Ramazzotti,61J0BktHv7PuP3tjTPYXSX
Beatriz Luengo,23cijmutocNvhM5xkcyyFF
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
Ricardo Arjona,0h1zs4CTlU9D2QtgPxptUD
