artist,artist_id,date
UB40,69MEO1AADKg1IZrq2XLzo5,2019-05-12
Steve Winwood,5gxynDEKwNDgxGJmJjZyte,2019-05-12
Billy Idol,7lzordPuZEXxwt9aoVZYmG,2019-05-12
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,2019-05-12
Elton John,3PhoLpVuITZKcymswpck5b,2019-05-12
Wang Chung,6Zh3xrWlA0SA9Fsfj9AVwm,2019-05-12
The J. Geils Band,69Mj3u4FTUrpyeGNSIaU6F,2019-05-12
The Go-Go's,2mG8HHQ9S9kcbjcrb5N1FE,2019-05-12
General Public,6BZbe6PDrJgxiXZ3cIXA8o,2019-05-12
The Human League,1aX2dmV8XoHYCOQRxjPESG,2019-05-12
The Buggles,057gc1fxmJ2vkctjQJ7Tal,2019-05-12
Journey,0rvjqX7ttXeg3mTy8Xscbt,2019-05-12
Cher,72OaDtakiy6yFqkt4TsiFt,2019-05-12
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,2019-05-12
Crowded House,7ohlPA8dRBtCf92zaZCaaB,2019-05-12
Cutting Crew,3cniTumSiUysiPWXapGx1i,2019-05-12
The Tubes,7zfhej6FnVXN9LIXs6dcoK,2019-05-12
Howard Jones,6loBF9iQdE11WSX29fNKqY,2019-05-12
John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,2019-05-12
Heart,34jw2BbxjoYalTp8cJFCPv,2019-05-12
Don Henley,5dbuFbrHa1SJlQhQX9OUJ2,2019-05-12
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,2019-05-12
Asia,1bdytLV3FPjyhfrb6BhMej,2019-05-12
Bob Seger,485uL27bPomh29R4JmQehQ,2019-05-12
John Waite,2TPyCsRoh2tjeZLTQ2ojlj,2019-05-12
Rick James,0FrpdcVlJQqibaz5HfBUrL,2019-05-12
ABC,2s79xe5F6eUQkjwjww27Fh,2019-05-12
Sammy Hagar,1hXjTjJzZTXDZ75AclOo6N,2019-05-12
Naked Eyes,3C6chBmZ9wzisBhoh8G2nK,2019-05-12
U2,51Blml2LZPmy7TTiAg47vQ,2019-05-12
Poison,1fBCIkoPOPCDLUxGuWNvyo,2019-05-12
Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,2019-05-12
Glenn Frey,3vMWY1bUrmYoSoEWLiQWOZ,2019-05-12
Billy Squier,3Fz2GbraVXhcpXnoi2Oe1r,2019-05-12
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,2019-05-12
Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk,2019-05-12
R.E.M.,4KWTAlx2RvbpseOGMEmROg,2019-05-12
Suzanne Vega,3X0tJzVYoWlfjLYI0Ridsw,2019-05-12
Rockwell,3xs0LEzcPXtgNfMNcHzLIP,2019-05-12
Richard Marx,0grdhNhiRLFBaFVyybqsj6,2019-06-23
Sheriff,5jllns7VtBfhF3AyjvZP8d,2019-06-23
Benny Mardones,6ZalUpnU8HaHSjROM92Txw,2019-06-23
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2019-06-23
Prince,5a2EaR3hamoenG9rDuVn8j,2019-06-23
Madonna,6tbjWDEIzxoDsBA1FuhfPW,2019-06-23
Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,2019-06-30
Orchestral Manoeuvres In The Dark,7wJ9NwdRWtN92NunmXuwBk,2019-06-30
Animotion,6eQHjJJa52LUGjBKP5UPos,2019-06-30
Level 42,0L9xkvBPcEp1nrhDrodxc5,2019-06-30
The Fixx,53RkHTcl0SJZjpzqogkBf4,2019-06-30
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,2019-05-12
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,2019-05-12
Dead Or Alive,5WWSL6rElJeUk3Uc1S2RyD,2019-05-12
The Clash,3RGLhK1IP9jnYFH4BRFJBS,2019-05-12
AC/DC,711MCceyCBcFnzjGY4Q7Un,2019-05-12
Survivor,26bcq2nyj5GB7uRr558iQg,2019-05-12
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,2019-05-12
Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,2019-05-12
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,2019-05-12
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,2019-05-12
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2019-05-12
George Michael,19ra5tSw0tWufvUp8GotLo,2019-05-12
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,2019-05-12
The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,2019-05-12
DEVO,0UKfenbZb15sqhfPC6zbt3,2019-05-12
Men At Work,0f3EsoviYnRKTkmayI3cux,2019-05-12
New Kids On The Block,55qiaow2sDYtjqu1mwRua6,2019-05-12
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2019-05-12
The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,2019-05-12
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,2019-05-12
Wham!,5lpH0xAS4fVfLkACg9DAuM,2019-05-12
Rick Astley,0gxyHStUsqpMadRV0Di1Qt,2019-05-12
The Outfield,1zxDewzd2j1ZdSBGaYcr0y,2019-05-12
Nena,6Tz0QRoe083BcOo2YbG9lV,2019-05-12
Scorpions,27T030eWyCQRmDyuvr1kxY,2019-05-12
A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,2019-05-12
Starship,0kObWap02DEg9EAJ3PBxzf,2019-05-12
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,2019-05-12
The Romantics,3daM7asS0gCFvyLemNx2EE,2019-05-12
Billy Ocean,5IDs1CK15HegSAhGEbSYXo,2019-05-12
Bill Medley,1XE70WwxhnrXNAJYQQ9ygx,2019-05-12
Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,2019-05-12
Europe,7Js6Lde8thlIHXggv2SCBz,2019-05-12
Matthew Wilder,3bmFPbLMiLxtR9tFrTcKcP,2019-05-12
Deniece Williams,5jNGQ7VOU87x5402JjhTtd,2019-05-12
REO Speedwagon,55vs7NT1KxcFjbMC4y202E,2019-05-12
Berlin,2aS6jYh7ysTL1ZUsHneNgM,2019-05-12
Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,2019-05-12
Loverboy,2CLVPk9FcywjClBcTvWPkT,2019-05-12
Steve Perry,5xQKoGD7Ql92fWd1uWwKkf,2019-05-12
"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK,2019-05-12
Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE,2019-05-12
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,2019-05-12
